Search<,>换乘查询<,>換乘搜尋<,>経路検索<,>Search
RouteMap<,>线路图<,>路綫圖<,>路線図<,>Route Map
Game<,>游戏<,>遊戲<,>ゲーム<,>Game
Station<,>车站<,>車站<,>駅情報<,>Station
Nearby<,>周边<,>周邊<,>周辺<,>Nearby
Map<,>地图<,>地圖<,>地図<,>Map
Photo<,>附近照片<,>附近照片<,>周辺写真<,>Photo
Wiki<,>车站百科<,>車站百科<,>駅の百科<,>Wikipedia
Setting<,>设置<,>設定<,>設定<,>Setting
Back<,>返回<,>返回<,>戻る<,>Back
Done<,>完成<,>完成<,>完了<,>Done
Cancel<,>取消<,>取消<,>キャンセル<,>Cancel
From<,>起点<,>起點<,>出発<,>From
To<,>终点<,>終點<,>到着<,>To
Time<,>时刻<,>時刻<,>日時<,>Time
Timetable<,>时刻表<,>時刻表<,>時刻表<,>Timetable
Weekdays<,>工作日<,>工作日<,>平日<,>Weekdays
Holidays<,>节假日<,>節假日<,>土曜休日<,>Holidays
Share<,>分享<,>分享<,>シェア<,>Share
Message<,>短信<,>簡訊<,>メッセージ<,>Message
Mail<,>邮件<,>郵件<,>メールで送信<,>Mail
MetroManApp<,>MetroMan!中国地铁通<,>MetroMan!中華地鐵通<,>MetroMan!中国メトロ<,>MetroMan China
MultiLang<,>简体中文<,>繁體中文<,>日本語<,>English
More<,>更多<,>更多<,>その他<,>More
MyLocation<,>现在位置<,>現在位置<,>現在地<,>My Location
GameM2<,>2048<,>2048<,>2048<,>2048
GameMB<,>Flappy Bird<,>Flappy Bird<,>Flappy Bird<,>Flappy Bird
Play<,>开始<,>開始<,>スタート<,>Play
SearchOptionTime<,>早到达优先<,>早到達優先<,>到着が早い順<,>Best route
SearchOptionTransfer<,>少换乘优先<,>少換乘優先<,>乗換回数順<,>Fewer transfers
SearchTypeDep<,>出发<,>出發<,>出発<,>Departure
SearchTypeArr<,>到达<,>到達<,>到着<,>Arrival
SearchTypeFirst<,>首班车<,>首班車<,>始発<,>First Train
SearchTypeLast<,>末班车<,>尾班車<,>終電<,>Last Train
SearchTypeNow<,>现在时刻<,>現在時刻<,>現在時刻<,>Now
SearchButton<,>查询<,>搜尋<,>検索<,>Search
Result<,>查询结果<,>搜尋結果<,>検索結果<,>Result
ResultCost<,>票价:%@元 换乘:%@次 距离:%4.1f公里<,>票價:%@元 換乘:%@次 距離:%4.1f公里<,>運賃:%@元 乗換:%@回 距離:%4.1fkm<,>Fare:%@  Transfer:%@  %4.1fkm
Route<,>路线%@<,>路綫%@<,>経路%@<,>Route %@
RouteCost<,>票价%@元 换乘%@次 距离%4.1f公里<,>票價%@元 換乘%@次 距離%4.1f公里<,>運賃%@元 乗換%@回 距離%4.1fkm<,>Fare:%@  Transfer:%@  %4.1fkm
RouteDistance<,>距离:%4.1f公里<,>距離:%4.1f公里<,>距離:%4.1fkm<,>Distance:%4.1fkm
RouteDep<,>%@发<,>%@發<,>%@発<,>%@S
RouteArr<,>%@到<,>%@到<,>%@着<,>%@E
RouteStop<,>%ld站<,>%ld站<,>%ld駅<,>%ld
RouteFare<,>%@元<,>%@元<,>%@元<,>%@ rmb
