android.permission.INTERNET,ネットワークへのフルアクセス,ネットワークソケットの作成とカスタムネットワークプロトコルの使用をアプリに許可します。インターネットにデータを送信する手段はブラウザや他のアプリが提供するため、インターネットへのデータ送信のためにこれを許可する必要はありません。
android.permission.WRITE_EXTERNAL_STORAGE,USBストレージのコンテンツの変更または削除,USBストレージへの書き込みをアプリに許可します。
android.permission.READ_EXTERNAL_STORAGE,USBストレージの読み取り,USBストレージのコンテンツの読み取りをアプリに許可します。
android.permission.ACCESS_GPS,,
android.permission.ACCESS_ASSISTED_GPS,,
android.permission.ACCESS_LOCATION,,
android.permission.ACCESS_COARSE_LOCATION,おおよその位置情報（ネットワーク基地局）,ユーザーのおおよその位置情報を取得することをアプリに許可します。この位置情報はネットワーク位置情報源（携帯基地局やWi-Fiなど）を利用した位置情報サービスから取得されます。これらの位置情報サービスはONの状態にして、端末でアプリがサービスを利用できるようにする必要があります。アプリはこの位置情報を利用してユーザーのおおよその現在地を特定できます。
android.permission.ACCESS_FINE_LOCATION,正確な位置情報（GPSとネットワーク基地局）,グローバルポジショニングシステム（GPS）またはネットワーク位置情報源（携帯基地局やWi-Fiなど）を利用して正確な位置情報を取得することをアプリに許可します。これらの位置情報サービスはONの状態にして、端末でアプリがサービスを利用できるようにする必要があります。アプリはこの位置情報を利用してユーザーの現在地を特定できます。また、これにより電池の消費量が増える可能性があります。
android.permission.RECORD_AUDIO,録音,マイクを使った録音をアプリに許可します。これにより、アプリがいつでも確認なしで録音できるようになります。
android.permission.ACCESS_NETWORK_STATE,ネットワーク接続の表示,存在するネットワークや接続しているネットワークなど、ネットワーク接続に関する情報を表示することをアプリに許可します。
android.permission.CHANGE_NETWORK_STATE,ネットワーク接続の変更,ネットワーク接続状態の変更をアプリに許可します。
android.permission.VIBRATE,バイブレーションの制御,バイブレーションの制御をアプリに許可します。
android.permission.WAKE_LOCK,端末のスリープを無効にする,携帯端末のスリープを無効にすることをアプリに許可します。
android.permission.RECEIVE_BOOT_COMPLETED,起動時の実行,システムの起動後に自動的に起動することをアプリに許可します。許可すると、携帯端末の起動時間が長くなったり、アプリが常に実行されるために携帯端末全体の動作が遅くなったりする可能性があります。
android.permission.GET_ACCOUNTS,この端末上のアカウントの検索,携帯端末で認識されているアカウントのリストの取得をアプリに許可します。これには、インストールしたアプリによって作成されたアカウントも含まれます。
android.permission.DISABLE_KEYGUARD,画面ロックの無効化,キーロックとキーロックに関連付けられたパスワードのセキュリティを無効にすることをアプリに許可します。たとえば、かかってきた電話を受ける際にキーロックを無効にし、通話が終了したらキーロックを再度有効にする場合などに使用します。
android.permission.SYSTEM_ALERT_WINDOW,他のアプリの上に重ねて表示,他のアプリやユーザーインターフェースの一部の上に重ねて描画することをアプリに許可します。これにより、他のアプリのインターフェースを使用する際に邪魔になったり、他のアプリに表示されていると思われるものが変更されたりする場合があります。
android.permission.KILL_BACKGROUND_PROCESSES,他のアプリの終了,他のアプリのバックグラウンドプロセスを終了することをアプリに許可します。これを許可すると、他のアプリの実行が停止する原因になることがあります。
android.permission.RESTART_PACKAGES,他のアプリの終了,他のアプリのバックグラウンドプロセスを終了することをアプリに許可します。これを許可すると、他のアプリの実行が停止する原因になることがあります。
android.permission.SET_WALLPAPER,壁紙の設定,システムの壁紙を設定することをアプリに許可します。
android.permission.SET_WALLPAPER_HINTS,壁紙のサイズの調整,システムの壁紙サイズのヒントを設定することをアプリに許可します。
android.permission.SET_ALARM,,
android.permission.ACCESS_WIFI_STATE,Wi-Fi接続の表示,Wi-FiがONになっているかどうか、接続されているWi-Fi端末の名前など、Wi-Fiネットワークに関する情報を表示することをアプリに許可します。
android.permission.CHANGE_WIFI_STATE,Wi-Fiからの接続と切断,Wi-Fiアクセスポイントへの接続/切断、Wi-Fiネットワークのデバイス設定の変更をアプリに許可します。
android.permission.EXPAND_STATUS_BAR,ステータスバーの拡大/縮小,ステータスバーの展開/折りたたみをアプリに許可します。
android.permission.READ_CONTACTS,連絡先の読み取り,携帯端末に保存されている連絡先に関するデータの読み取りをアプリに許可します。このデータには、電話、メール、または他の手段で特定の相手と連絡をとった頻度も含まれます。これにより、アプリに連絡先データの保存を許可することになり、悪意のあるアプリによって知らないうちに連絡先データが共有される恐れがあります。
android.permission.READ_CALENDAR,カレンダーの予定と機密情報を読み取る,携帯端末に保存されているカレンダーの予定（友だちや同僚の予定も含めすべて）を読み取ることをアプリに許可します。これにより、アプリがカレンダーのデータを機密性に関係なく共有または保存できるようになる可能性があります。
